,y_coor,sgg_cd,theme_cd,sido_nm,corp_cnt,sgg_nm,sido_cd,upregion_vs_corp_per,theme_cd_nm,corp_vs_family_rate,x_coor,biz_worker_cnt,avg_worker_rate,corp_vs_worker_rate,corp_vs_ppltn_rate
26,1970822,030,9003,경기도,463,의정부시,31,3.7,병원,400.7,961975,8992,19,285.3,961.1
27,1948126,030,9003,서울특별시,255,용산구,11,1.8,병원,380.3,954044,3339,13,595.4,797.2
28,1805651,530,9003,충청남도,54,부여군,34,3,병원,527.8,942227,721,13,447.1,1119.2
29,1924002,011,9003,경기도,269,수원시 장안구,31,2.1,병원,400.1,955998,3148,12,296.8,987
30,1854950,090,9003,경상북도,67,문경시,37,3.1,병원,465,1057944,1004,15,404.2,988.4
31,1941664,220,9003,서울특별시,1043,서초구,11,7.2,병원,149.5,958560,16107,15,467.1,366.3
32,1933607,042,9003,경기도,435,안양시 동안구,31,3.4,병원,260.1,951800,5730,13,415.7,674.9
33,1851051,600,9003,경상북도,36,예천군,37,1.7,병원,685.6,1082440,507,14,479.9,1477
34,1683335,115,9003,경상남도,153,창원시 진해구,38,5.3,병원,516.1,1114601,1946,13,338.8,1219
35,1716394,560,9003,전라북도,25,순창군,35,1.3,병원,465.6,965795,377,15,411.5,995.2
36,1686647,050,9003,부산광역시,666,부산진구,21,16.2,병원,241.1,1140531,12881,19,258.9,519.1
37,1951156,070,9003,인천광역시,294,계양구,23,10.7,병원,397.3,932401,5073,17,327.8,965.2
38,1780848,070,9003,경상북도,85,영천시,37,3.9,병원,539.3,1130001,1231,14,621.8,1122.1
39,1809241,030,9003,대전광역시,698,서구,25,40.1,병원,296.8,986097,11688,17,278.9,669.3
40,1875250,060,9003,경상북도,88,영주시,37,4.1,병원,516.2,1097834,1478,17,471.3,1142.5
41,1620308,600,9003,전라남도,63,해남군,36,3.8,병원,464.5,914371,1209,19,467.8,968.5
42,1645367,610,9003,전라남도,41,영암군,36,2.5,병원,585.4,922528,523,13,959.8,1216.4
43,1909401,240,9003,경기도,669,화성시,31,5.3,병원,510.4,946675,8738,13,839.7,1266.9
44,1751399,510,9003,대구광역시,201,달성군,22,6.8,병원,513.5,1088378,2221,11,567.7,1270.8
45,1748541,590,9003,경상남도,54,거창군,38,1.9,병원,490.9,1036548,835,15,437.3,1076.2
46,1919956,013,9003,경기도,352,수원시 팔달구,31,2.8,병원,234.5,957129,7426,21,301.1,494.6
47,1647925,010,9003,전라남도,229,목포시,36,13.9,병원,416.8,900193,6491,28,373.7,939.5
48,1764044,012,9003,전라북도,356,전주시 덕진구,35,18.6,병원,382.8,965027,8506,24,356.7,897.6
49,2001219,610,9003,강원도,9,양양군,32,0.7,병원,1405.7,1098889,48,5,1803.6,2891.9
50,1760520,100,9003,경상북도,242,경산시,37,11.2,병원,505.4,1118233,3254,13,489.2,1145.8
51,1996680,270,9003,경기도,109,포천시,31,0.9,병원,564.3,978074,1573,14,944.1,1280.6
52,1809281,020,9003,대전광역시,276,중구,25,15.9,병원,356,992020,9112,33,364.4,809.2
53,1653378,680,9003,전라남도,20,신안군,36,1.2,병원,839.9,891974,256,13,729.9,1640.3
54,1944106,170,9003,서울특별시,466,구로구,11,3.2,병원,356.6,942116,7958,17,507.5,816.7
55,1939588,090,9003,인천광역시,370,미추홀구,23,13.4,병원,474,926110,6606,18,358.9,1069
56,1922614,280,9003,경기도,91,여주시,31,0.7,병원,500.8,1010256,1358,15,628.5,1182.6
57,1854070,570,9003,충청남도,64,예산군,34,3.6,병원,532.5,941822,649,10,595.9,1140.7
58,1699670,510,9003,전라남도,45,담양군,36,2.7,병원,415.6,954109,849,19,515.6,937.9
59,1845157,560,9003,충청남도,80,홍성군,34,4.4,병원,546.1,924944,1365,17,531.9,1219.8
60,1849902,043,9003,충청북도,271,청주시 흥덕구,33,18.7,병원,426,988309,4062,15,582.6,971.2
61,1874748,550,9003,충청북도,66,진천군,33,4.5,병원,554.8,994694,868,13,927.3,1239.7
62,1676689,020,9003,부산광역시,107,서구,21,2.6,병원,446.4,1138120,9384,88,422.2,944.7
63,1682455,020,9003,광주광역시,455,서구,24,25.4,병원,278.6,940831,6476,14,363.3,627.8
64,1699894,520,9003,경상남도,42,함안군,38,1.4,병원,637,1084640,701,17,1076.9,1402.1
65,1927318,160,9003,경기도,252,군포시,31,2,병원,414.4,948731,3427,14,452.3,1025.4
66,1790350,540,9003,충청남도,48,서천군,34,2.7,병원,479.1,930213,705,15,579.7,1000.2
